"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"1",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",5391,9,NA,"A5","4726 AMBOY ROAD"," ",10312," 1 "," -   "," 1 "," 3,067 "," 910 ",2002,1,"A5"," $520,000 ","4/21/16",520000,910,3067
"2",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",5391,30,NA,"A1","1306 ARDEN AVENUE"," ",10312," 1 "," -   "," 1 "," 7,500 "," 1,890 ",1952,1,"A1"," $-   ","5/4/16",NA,1890,7500
"3",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",5395,15,NA,"A1","10 EDWIN STREET"," ",10312," 1 "," -   "," 1 "," 7,000 "," 2,200 ",1980,1,"A1"," $10 ","4/21/16",10,2200,7000
"4",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",5397,60,NA,"A1","33 EYLANDT STREET"," ",10312," 1 "," -   "," 1 "," 10,120 "," 3,516 ",1984,1,"A1"," $-   ","8/10/16",NA,3516,10120
"5",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",5399,26,NA,"A1","235 KOCH BOULEVARD"," ",10312," 1 "," -   "," 1 "," 9,555 "," 1,528 ",1960,1,"A1"," $-   ","2/11/16",NA,1528,9555
"6",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",5406,37,NA,"A1","111 ELMBANK STREET"," ",10312," 1 "," -   "," 1 "," 2,500 "," 1,200 ",1999,1,"A1"," $520,000 ","3/25/16",520000,1200,2500
"7",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",5408,7,NA,"A2","192 BATHGATE STREET"," ",10312," 1 "," -   "," 1 "," 2,500 "," 572 ",1930,1,"A2"," $290,000 ","9/2/16",290000,572,2500
"8",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",6205,24,NA,"A5","79 EAGAN AVENUE"," ",10312," 1 "," -   "," 1 "," 1,845 "," 1,854 ",1986,1,"A5"," $425,000 ","7/29/16",425000,1854,1845
"9",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",6209,69,NA,"A5","195 MOSELY AVENUE"," ",10312," 1 "," -   "," 1 "," 2,665 "," 1,592 ",2007,1,"A5"," $579,000 ","11/21/16",579000,1592,2665
"10",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",6211,4,NA,"A5","35 EAGAN AVENUE"," ",10312," 1 "," -   "," 1 "," 1,508 "," 1,521 ",1986,1,"A5"," $-   ","7/25/16",NA,1521,1508
"11",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",6211,15,NA,"A5","17 EAGAN AVENUE"," ",10312," 1 "," -   "," 1 "," 1,508 "," 1,521 ",1986,1,"A5"," $370,000 ","10/14/16",370000,1521,1508
"12",5,"ANNADALE","01 ONE FAMILY DWELLINGS                    ","1",6212,47,NA,"A5","42 LUCY LOOP"," ",10312," 1 "," -   "," 1 "," 2,700 "," 1,500 ",2000,1,"A5"," $-   ","10/18/16",NA,1500,2700
